建案編號,建案名稱,縣市	行政區,Unnamed: 3,地址,總戶數,樓層,產品類型,使用分區/用途,門牌號,格局,其他用途名稱,成交時間,基地面積,建蔽率,容積率,車位配比,停車規劃,充電樁,管理費,結構工程,土地分區,標籤,朝向規劃,建案介紹,公共設施,備註,交通,周邊環境
34541,展悅ECD創藝總部,,,新北市林口區文化三路二段351~357號,19,"地上9層,地下3層",,商辦,,開放格局(165坪),商業用,,847坪,44.66%,40.02%,1:7.05,,,無管理費,RC造,第二種住宅區,,朝東,依現場為主,"['接待大廳', '空中花園']",,機場捷運A9站,
29076,雙橡園十一期,,,新北市林口區四維路176號,8,地上4層,,透天,,四房(131.46~133.13坪),見其他登記事項,,456坪,48.56%,,,,,無管理費,RC造、其他,住宅區,,朝西南,,,,,
28981,新林,,,新北市林口區仁愛路二段148號,8,地上4層,,其他,,,見其他登記事項,,0,,,,,,無管理費,RC造、其他,住宅區,,,,,,,
28986,極致首席,,,新北市林口區仁愛路一段639號,9,地上3層,,透天,,"三房(113.07坪),四房(66.32坪),五房(110.51坪)",見其他登記事項,,0,,,,,,1666元/戶/月,RC造、其他,住宅區,,,,,,,
28965,冠富林二期,,,新北市林口區公園路126號,12,地上6層,,華廈,,三房(52.6坪),住家用,,231坪,,,,,,無管理費,RC造、其他,住宅區,,朝西北,,,,,
26155,丰陽大謙,,,新北市林口區麗園路2巷27號,13,地上3層,,透天,,四房(83.03坪),住家用,,581坪,38.41%,,,,,無管理費,RC造、其他,住宅區,,,,,,,
26158,采鑽,,,新北市林口區民族路96號,45,地上11層,,住宅大樓,,"二房(42.91~44.37坪),三房(37.89~54.38坪),四房(52.21~60.79坪)",見其他登記事項,,0,59.97%,26.14%,,,,無管理費,RC造,住宅區,,朝西北,,,,,
26169,薩薾茲葆,,,新北市林口區南勢二街2號,17,地上5層,,透天,,"四房(86.58~126坪),五房(137.52坪)",見其他登記事項,,612坪,44.85%,6.38%,,,,無管理費,RC造、其他,住宅區,,朝東南,,,,,
26121,羅馬經典,,,新北市林口區南勢七街26號,14,地上4層,,透天,,五房(87.4坪),住家用,,487坪,48.76%,12.44%,,,,9000元/戶/月,RC造、其他,住宅區,,朝西北,,,,,
43194,忠孝名門,,,新北市林口區忠孝路497號,42,"地上12層,地下1層",,住宅大樓,,三房(42~43坪),住商用,,695坪,49.99%,29.8%,1:1.12,,,75元/坪/月,RC造,第二種住宅區,,朝西南、朝東北,依現場為主,"['接待大廳', '交誼廳', '會議室', '閱覽室', '健身房', '信箱區', '曬被區']",,機場捷運林口站,
28976,法國小鎮香檳區,,,新北市林口區東湖路12巷1號,56,地上7層,,華廈,,"二房(47.21坪),三房(39.7~52.83坪),四房(26.41~55.61坪),五房(39.85坪)",住家用,,"1,426坪",39.01%,,,,,2873元/戶/月,RC造,住宅區,,朝東,,,,,
11455,麗江閱大樓,,,新北市林口區文化三路二段115巷135號,30,地上14層,,住宅大樓,,"一房(47.24坪),三房(67.16~73.14坪),四房(67.16~68.46坪)",見其他登記事項,,0,46.29%,26.93%,,,,無管理費,RC造,住宅區,,朝東南,,,,,
26180,巴洛克,,,新北市林口區麗園二街60巷15號,4,地上3層,,透天,,"四房(88.74坪),五房(90.32坪)",見其他登記事項,,155坪,39.35%,,,,,無管理費,RC造、其他,住宅區,,,,,,,
25996,麒麟香榭,,,新北市林口區竹林路309巷2號,,地上3層,,其他,,,住家用,,0,,,,,,無管理費,SRC造、其他,住宅區,,朝東南,,,,,
26021,證源富景,,,新北市林口區公園路90號,52,地上8層,,華廈,,"二房(31.42坪),三房(30.41~53.29坪),四房(60.83坪)",住家用,,0,45.97%,,,,,無管理費,RC造,住宅區,,,,,,,
26076,尚品,,,新北市林口區中山路297巷86號,55,地上7層,,華廈,,"一房(24.28~28.48坪),三房(37.43~47.04坪),四房(47.04~55.04坪)",住家用,,0,37.78%,26%,,,,無管理費,RC造,住宅區,,朝西北,,,,,
26124,醒吾之星,,,新北市林口區中山路6號,2,地上3層,,其他,,,見其他登記事項,,0,,,,,,無管理費,RC造、其他,住宅區,,朝東,,,,,
28873,新生御庭大廈,,,新北市林口區中正路505巷5號,42,地上7層,,華廈,,"一房(11.65~26.38坪),二房(33.69~49.65坪),三房(16.09~55.59坪),四房(38坪)",商業用,,0,,29~30%,,,,30元/戶/月,RC造,住宅區,,朝西北,,"['交誼廳', '會議室', '信箱區', '中庭花園']",,,
28923,哥德花園,,,新北市林口區文化二路一段260巷10號,53,地上14層,,住宅大樓,,四房(49.53~87.37坪),住家用,,0,38.89%,26.8~27%,,,,65元/戶/月,RC造,住宅區,,朝東北、朝西北,,"['交誼廳', '接待大廳', '閱覽室', '中庭花園', '健身房', '信箱區']",,,
28924,麗園學府,,,新北市林口區忠孝路599號,25,地上6層,,華廈,,"二房(29.56坪),三房(29.56~55.39坪)",住家用,,227坪,,29.04%,,,,無管理費,RC造、其他,商業區,,朝東,,,,,
5904820,天地昕,,,新北市林口區民有街,122,"地上28層,地下4層",,住宅大樓,,,住家用,,"1,247坪",,30%,,,,無管理費,RC造,,,,,,,,
5952866,莊子人文行館,,,新北市林口區麗園二街23巷58號,16,"地上3層,地下1層",,別墅,,,住家用,,550坪,,,1:0.13,,,無管理費,RC造,,,,,['中庭花園'],,"莊子距「機場捷運│A8站」僅約1500公尺，至中正機場二期航站僅需數分鐘，未來不論是到台北或是出國都很方便，迅速銜接大台北，通往境外全世界，過人通勤效率優勢，輕輕鬆鬆成為時間的主人。

以陽光清風丈量眼界，以群山綠壑狀闊氣度，得天獨厚享有市中心繁華與萬坪自然生態保護區的完美交界，麗園國小、崇林國中、林口高中，優質學區一脈相承，運動公園、游泳池、郵局、市場，任何生活所需都近在咫尺。享受從容開闊的別墅人生，無需遠離市區、離群索居…",
11432,旺龍園,,,新北市林口區工六路24號,5,地上9層,,其他,,,見其他登記事項,,182坪,,32.00%,,,,無管理費,RC造、其他,住宅區,,,,,,,
11444,六荷,,,新北市林口區東明二街61號,6,地上3層,,透天,,三房(91.98~102.22坪),見其他登記事項,,313坪,39.98%,,,,,無管理費,RC造、其他,住宅區,,,,,,,
11475,第一名廈,,,新北市林口區民權路151號,18,地上9層,,華廈,,"三房(56.62坪),四房(56.62~67.51坪)",見其他登記事項,,0,49.99%,28~30%,,,,無管理費,RC造,住宅區,,朝東北、朝東南,,['無公設'],,,
29065,大為苑,,,新北市林口區文化北路一段1號,2,地上4層,,其他,,,見其他登記事項,,0,,,,,,無管理費,RC造、其他,住宅區,,,,,,,
29085,領秀新廈,,,新北市林口區文化二路一段498號,15,地上5層,,華廈,,"三房(20.42~28.36坪),四房(19.44坪)",住家用,,0,58.75%,12.86%,,,,250元/戶/月,RC造、其他,住宅區,,朝北,,,,,
26165,江南馥園,,,新北市林口區中北一街84號,21,地上7層,,華廈,,"四房(54.16~72.04坪),五房(111.76坪)",住家用,,0,43.26%,30.66%,,,,3200元/戶/月,RC造,住宅區,,朝東南、朝西北、朝西、朝北、朝西南、朝南,,,,,
26168,鋒泉螺釘,,,新北市林口區文化二路二段369號,12,地上4層,,其他,,,見其他登記事項,,0,,,,,,無管理費,RC造、其他,工業區,,,,,,,
26174,富貴傳家大廈,,,新北市林口區麗園二街76號,7,地上3層,,透天,,,見其他登記事項,,355坪,39.63%,,,,,無管理費,RC造、其他,住宅區,,,,,,,
26095,富堡福居,,,新北市林口區八德路48巷36號,2,地上4層,,其他,,,住家用,,0,,,,,,無管理費,RC造、其他,住宅區,,,,,,,
26125,御品苑一區,,,新北市林口區忠孝一路172號,18,地上4層,,透天,,"四房(81.14坪),五房(70.78~81.96坪)",見其他登記事項,,450坪,48.72%,,,,,無管理費,RC造、其他,住宅區,,,,,,,
26063,維也納,,,新北市林口區興林路152巷16號,18,地上3層,,透天,,四房(63.04~68.72坪),住家用,,"1,094坪",31.94%,,,,,無管理費,RC造、其他,住宅區,,,,,,,
26020,呈冠微風五期,,,新北市林口區佳林路257號,30,地上7層,,華廈,,"三房(34.96坪),四房(57.56坪)",住家用,,0,44.54%,24.5%,,,,無管理費,RC造,住宅區,,朝西北,,,,,
3670815,天悅-B區,,,新北市林口區新北市林口區,2,,,透天,,,其他,,123坪,,,,,,無管理費,,,,,,,,,
5855881,廉永翔品NO.6,,,新北市林口區文林街,22,"地上10層,地下2層",,華廈,,"三房(41坪),店面(35~37坪)",住商用,,332坪,27.88%,32%,1:1.23,,,無管理費,RC造,第二種住宅區,,朝東南,豪山廚具、TOTO衛浴,['交誼廳'],,A9林口站,
105012,廉永翔品3期,,,新北市林口區松柏路,21,"地上10層,地下2層",,華廈,,"三房(41.34坪),四房(56.63坪)",住商用,,238坪,37.01%,30~32%,1:1.43,,,35元/坪/月,RC造,第二種住宅區,,朝西北,"廚房：豪山，喜特麗
衛浴：ToTo
地磚：冠軍","['接待大廳', '交誼廳', '會議室']",,機場捷運A9站(林口站),
29020,雙橡園六期,,,新北市林口區仁愛路二段96號,11,地上4層,,透天,,"四房(92.41坪),五房(84.66~105.39坪)",見其他登記事項,,374坪,48.54%,,,,,500元/戶/月,RC造、其他,住宅區,,朝西南,,,,,
29075,起心動念,,,新北市林口區興林路318巷7號,4,地上3層,,別墅,,,見其他登記事項,,0,,,,,,無管理費,RC造、其他,住宅區,,朝西、朝東,,,,,
11486,麗水逸軒,,,新北市林口區民富街82號,52,地上14層,,住宅大樓,,"三房(48.68~60.78坪),四房(56.43~65.94坪)",見其他登記事項,,0,46.96%,30.46%,,,,無管理費,RC造,商業區,,朝東南、朝東北、朝西北,,,,,
11491,文化柏儷,,,新北市林口區文化一路一段105號,9,地上5層,,華廈,,"一房(40.11坪),三房(34.67~119.91坪),四房(38.24坪)",見其他登記事項,,145坪,50.00%,24.52%,,,,無管理費,RC造、其他,住宅區,,朝東北,,,,,
11438,立新大樓,,,新北市林口區文化北路一段338號,2,地上1層,,其他,,,見其他登記事項,,0,,,,,,無管理費,其他,住宅區,,,,,,,
26022,珍第,,,新北市林口區文林六街13巷12號,43,地上7層,,華廈,,"三房(35.77~45.5坪),四房(46.86~46.87坪)",住家用,,0,49.75%,,,,,無管理費,RC造,住宅區,,,,,,,
26114,悅桂,,,新北市林口區公園路152號,12,地上5層,,華廈,,四房(52.6坪),見其他登記事項,,218坪,49.97%,27.37%,,,,無管理費,RC造、其他,住宅區,,朝西北,,,,,
28930,奧之細道樸園,,,新北市林口區文化一路一段83巷14弄27號,17,地上4層,,透天,,四房(83.35坪),住家用,,0,,7.24%,,,,無管理費,RC造、其他,住宅區,,朝東南、朝西南、朝東,,,,,
29044,雙橡園八期,,,新北市林口區麗園二街62號,17,地上3層,,透天,,"四房(38.48坪),五房(102.21坪)",住家用,,0,,,,,,無管理費,RC造、其他,住宅區,,,,,,,
